urine rate,catheter length,bladder steady state,time to blockage
25.0,165.0,1966.0,76.08333333333333
25.0,170.0,1969.52,76.83333333333333
25.0,175.0,1972.86,77.58333333333333
25.0,180.0,1976.01,78.25
25.0,185.0,1979.01,79.0
25.0,190.0,1981.85,79.66666666666666
25.0,195.0,1984.55,80.33333333333333
25.0,200.0,1987.12,81.0
26.0,40.0,1439.35,49.75
26.0,45.0,1462.76,51.916666666666664
26.0,50.0,1484.27,53.08333333333333
26.0,55.0,1503.81,54.666666666666664
26.0,60.0,1521.47,56.25
26.0,65.0,1537.39,57.916666666666664
26.0,70.0,1551.74,59.5
26.0,75.0,1564.7,61.0
26.0,80.0,1576.43,62.25
26.0,85.0,1587.07,62.33333333333333
26.0,90.0,1596.74,63.0
26.0,95.0,1605.57,63.916666666666664
26.0,100.0,1613.64,64.83333333333333
26.0,105.0,1621.05,65.83333333333333
26.0,110.0,1627.87,66.75
